Id,,Name,,Date,,Time,,Subject
1,,ko,,19-04-2025,,12:42:19 PM,,Free Period
1,,ko,,19-04-2025,,01:02:16 PM,,No Class
2,,li,,19-04-2025,,01:06:19 PM,,No Class
2,,li,,19-04-2025,,01:43:48 PM,,Free Period
